[2022-03-12 23:36:53.947] [INFO] [django.utils.autoreload:643]    ##### Watching for file changes with StatReloader
[2022-03-12 23:36:53.950] [DEBUG] [django.utils.autoreload:321]    ##### Waiting for apps ready_event.
[2022-03-12 23:36:54.076] [INFO] [eqpInfo.views:20]    ##### LOG : call EqpInfoModlView
[2022-03-12 23:36:54.078] [DEBUG] [django.utils.autoreload:333]    ##### Apps ready_event triggered. Sending autoreload_started signal.
[2022-03-12 23:36:54.168] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\books\templates with glob **/*.
[2022-03-12 23:36:54.168] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\insta\templates with glob **/*.
[2022-03-12 23:36:54.168] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\templates with glob **/*.
[2022-03-12 23:36:54.169] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\polls\templates with glob **/*.
[2022-03-12 23:36:54.169] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\blog\templates with glob **/*.
[2022-03-12 23:36:54.169] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\eqpInfo\templates with glob **/*.
[2022-03-12 23:36:54.169] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\photo\templates with glob **/*.
[2022-03-12 23:36:54.170] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\bookmark\templates with glob **/*.
[2022-03-12 23:36:54.171] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\locale with glob **/*.mo.
[2022-03-12 23:36:54.171] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\PYTHON\VENV\myWebSite\lib\site-packages\widget_tweaks\locale with glob **/*.mo.
[2022-03-12 23:36:54.171] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\polls\locale with glob **/*.mo.
[2022-03-12 23:36:54.171] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\books\locale with glob **/*.mo.
[2022-03-12 23:36:54.171] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\bookmark\locale with glob **/*.mo.
[2022-03-12 23:36:54.171] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\blog\locale with glob **/*.mo.
[2022-03-12 23:36:54.172] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\photo\locale with glob **/*.mo.
[2022-03-12 23:36:54.172] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\insta\locale with glob **/*.mo.
[2022-03-12 23:36:54.172] [DEBUG] [django.utils.autoreload:287]    ##### Watching dir C:\Users\Steven\GitRepository\stevenlabs-common-develop\01_DjangoExampleWebApp\ExamBlogWebSite\eqpInfo\locale with glob **/*.mo.
[2022-03-12 23:36:54.300] [DEBUG] [django.db.backends:124]    ##### (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
[2022-03-12 23:36:54.311] [DEBUG] [django.db.backends:124]    ##### (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
